year,month,sex,age_group,deaths,expected,excess,pct_change,age_band
2017,July,Both Sexes,0 to 29,621,595,26,4.5,Infants & Toddlers
2017,July,Both Sexes,30 to 44,922,827,95,11.5,Young Adults
2017,July,Both Sexes,45 to 49,728,634,94,14.8,Middle Aged
2017,July,Both Sexes,50 to 54,1055,970,85,8.8,Middle Aged
2017,July,Both Sexes,55 to 59,1361,1375,-14,-1,Middle Aged
2017,July,Both Sexes,60 to 64,1859,1877,-18,-1,Middle Aged
2017,July,Both Sexes,65 to 69,2719,2772,-53,-1.9,Older Adults
2017,July,Both Sexes,70 to 74,3933,3982,-49,-1.2,Older Adults
2017,July,Both Sexes,75 to 79,4660,4716,-56,-1.2,Seniors
2017,July,Both Sexes,80 to 84,6111,6165,-54,-0.9,Seniors
2017,July,Both Sexes,85 to 89,6671,6981,-310,-4.4,Elderly
2017,July,Both Sexes,90 and over,7785,7928,-143,-1.8,Elderly
2017,July,Male,All ages,19389,19326,63,0.3,All Ages
2017,July,Male,0 to 29,375,372,3,0.9,Infants & Toddlers
2017,July,Male,30 to 44,566,495,71,14.3,Young Adults
2017,July,Male,45 to 49,449,380,69,18.2,Middle Aged
2017,July,Male,50 to 54,617,581,36,6.2,Middle Aged
2017,July,Male,55 to 59,818,825,-7,-0.9,Middle Aged
2017,July,Male,60 to 64,1133,1121,12,1.1,Middle Aged
2017,July,Male,65 to 69,1670,1638,32,2,Older Adults
2017,July,Male,70 to 74,2331,2314,17,0.8,Older Adults
2017,July,Male,75 to 79,2552,2619,-67,-2.6,Seniors
2017,July,Male,80 to 84,3189,3172,17,0.5,Seniors
2017,July,Male,85 to 89,3090,3155,-65,-2.1,Elderly
2017,July,Male,90 and over,2599,2655,-56,-2.1,Elderly
2017,July,Female,All ages,19036,19495,-459,-2.4,All Ages
2017,July,Female,0 to 29,246,223,23,10.4,Infants & Toddlers
2017,July,Female,30 to 44,356,331,25,7.4,Young Adults
2017,July,Female,45 to 49,279,254,25,9.8,Middle Aged
2017,July,Female,50 to 54,438,389,49,12.6,Middle Aged
2017,July,Female,55 to 59,543,550,-7,-1.2,Middle Aged
2017,July,Female,60 to 64,726,757,-31,-4,Middle Aged
2017,July,Female,65 to 69,1049,1134,-85,-7.5,Older Adults
2017,July,Female,70 to 74,1602,1668,-66,-4,Older Adults
2017,July,Female,75 to 79,2108,2097,11,0.5,Seniors
2017,July,Female,80 to 84,2922,2993,-71,-2.4,Seniors
2017,July,Female,85 to 89,3581,3826,-245,-6.4,Elderly
2017,July,Female,90 and over,5186,5273,-87,-1.6,Elderly
2017,August,Both Sexes,All ages,41074,40974,100,0.2,All Ages
2017,August,Both Sexes,0 to 29,585,621,-36,-5.7,Infants & Toddlers
2017,August,Both Sexes,30 to 44,906,874,32,3.7,Young Adults
2017,August,Both Sexes,45 to 49,688,670,18,2.7,Middle Aged
2017,August,Both Sexes,50 to 54,1021,1024,-3,-0.3,Middle Aged
2017,August,Both Sexes,55 to 59,1380,1456,-76,-5.3,Middle Aged
2017,August,Both Sexes,60 to 64,1930,1986,-56,-2.8,Middle Aged
2017,August,Both Sexes,65 to 69,2848,2929,-81,-2.8,Older Adults
2017,August,Both Sexes,70 to 74,4162,4143,19,0.5,Older Adults
2017,August,Both Sexes,75 to 79,5051,5043,8,0.1,Seniors
2017,August,Both Sexes,80 to 84,6624,6557,67,1,Seniors
2017,August,Both Sexes,85 to 89,7347,7377,-30,-0.4,Elderly
2017,August,Both Sexes,90 and over,8532,8294,238,2.9,Elderly
2017,August,Male,All ages,20526,20417,109,0.5,All Ages
2017,August,Male,0 to 29,367,388,-21,-5.3,Infants & Toddlers
