year,sex,age,marital_status,deaths,age_band
2024,Both Sexes,19,Civil partnership dissolved,0,NA
2024,Both Sexes,19,Marital status not stated,19,NA
2024,Both Sexes,20,All marital statuses,241,NA
2024,Both Sexes,20,Single,214,NA
2024,Both Sexes,20,Married,0,NA
2024,Both Sexes,20,Widowed,0,NA
2024,Both Sexes,20,Divorced,0,NA
2024,Both Sexes,20,Civil partnership,0,NA
2024,Both Sexes,20,Civil partnership widowed,0,NA
2024,Both Sexes,20,Civil partnership dissolved,0,NA
2024,Both Sexes,20,Marital status not stated,27,NA
2024,Both Sexes,21,All marital statuses,283,NA
2024,Both Sexes,21,Single,256,NA
2024,Both Sexes,21,Married,5,NA
2024,Both Sexes,21,Widowed,0,NA
2024,Both Sexes,21,Divorced,0,NA
2024,Both Sexes,21,Civil partnership,0,NA
2024,Both Sexes,21,Civil partnership widowed,0,NA
2024,Both Sexes,21,Civil partnership dissolved,0,NA
2024,Both Sexes,21,Marital status not stated,22,NA
2024,Both Sexes,22,All marital statuses,266,NA
2024,Both Sexes,22,Single,239,NA
2024,Both Sexes,22,Married,1,NA
2024,Both Sexes,22,Widowed,0,NA
2024,Both Sexes,22,Divorced,0,NA
2024,Both Sexes,22,Civil partnership,0,NA
2024,Both Sexes,22,Civil partnership widowed,0,NA
2024,Both Sexes,22,Civil partnership dissolved,0,NA
2024,Both Sexes,22,Marital status not stated,26,NA
2024,Both Sexes,23,All marital statuses,256,NA
2024,Both Sexes,23,Single,231,NA
2024,Both Sexes,23,Married,3,NA
2024,Both Sexes,23,Widowed,0,NA
2024,Both Sexes,23,Divorced,1,NA
2024,Both Sexes,23,Civil partnership,0,NA
2024,Both Sexes,23,Civil partnership widowed,0,NA
2024,Both Sexes,23,Civil partnership dissolved,0,NA
2024,Both Sexes,23,Marital status not stated,21,NA
2024,Both Sexes,24,All marital statuses,299,NA
2024,Both Sexes,24,Single,261,NA
2024,Both Sexes,24,Married,14,NA
2024,Both Sexes,24,Widowed,0,NA
2024,Both Sexes,24,Divorced,0,NA
2024,Both Sexes,24,Civil partnership,0,NA
2024,Both Sexes,24,Civil partnership widowed,0,NA
2024,Both Sexes,24,Civil partnership dissolved,0,NA
2024,Both Sexes,24,Marital status not stated,24,NA
2024,Both Sexes,25,All marital statuses,317,NA
2024,Both Sexes,25,Single,273,NA
2024,Both Sexes,25,Married,16,NA
2024,Both Sexes,25,Widowed,0,NA
2024,Both Sexes,25,Divorced,1,NA
2024,Both Sexes,25,Civil partnership,0,NA
2024,Both Sexes,25,Civil partnership widowed,0,NA
2024,Both Sexes,25,Civil partnership dissolved,0,NA
2024,Both Sexes,25,Marital status not stated,27,NA
2024,Both Sexes,26,All marital statuses,330,NA
2024,Both Sexes,26,Single,289,NA
2024,Both Sexes,26,Married,10,NA
2024,Both Sexes,26,Widowed,0,NA
2024,Both Sexes,26,Divorced,1,NA
2024,Both Sexes,26,Civil partnership,0,NA
2024,Both Sexes,26,Civil partnership widowed,0,NA
2024,Both Sexes,26,Civil partnership dissolved,0,NA
2024,Both Sexes,26,Marital status not stated,30,NA
2024,Both Sexes,27,All marital statuses,342,NA
2024,Both Sexes,27,Single,277,NA
2024,Both Sexes,27,Married,29,NA
2024,Both Sexes,27,Widowed,0,NA
2024,Both Sexes,27,Divorced,1,NA
2024,Both Sexes,27,Civil partnership,0,NA
2024,Both Sexes,27,Civil partnership widowed,0,NA
2024,Both Sexes,27,Civil partnership dissolved,0,NA
2024,Both Sexes,27,Marital status not stated,35,NA
2024,Both Sexes,28,All marital statuses,366,NA
2024,Both Sexes,28,Single,304,NA
2024,Both Sexes,28,Married,29,NA
2024,Both Sexes,28,Widowed,0,NA
2024,Both Sexes,28,Divorced,1,NA
2024,Both Sexes,28,Civil partnership,0,NA
2024,Both Sexes,28,Civil partnership widowed,0,NA
2024,Both Sexes,28,Civil partnership dissolved,0,NA
2024,Both Sexes,28,Marital status not stated,32,NA
2024,Both Sexes,29,All marital statuses,387,NA
2024,Both Sexes,29,Single,303,NA
2024,Both Sexes,29,Married,46,NA
2024,Both Sexes,29,Widowed,0,NA
2024,Both Sexes,29,Divorced,4,NA
2024,Both Sexes,29,Civil partnership,1,NA
2024,Both Sexes,29,Civil partnership widowed,0,NA
2024,Both Sexes,29,Civil partnership dissolved,0,NA
2024,Both Sexes,29,Marital status not stated,33,NA
2024,Both Sexes,30,All marital statuses,430,NA
2024,Both Sexes,30,Single,329,NA
2024,Both Sexes,30,Married,70,NA
2024,Both Sexes,30,Widowed,0,NA
2024,Both Sexes,30,Divorced,2,NA
2024,Both Sexes,30,Civil partnership,0,NA
2024,Both Sexes,30,Civil partnership widowed,0,NA
2024,Both Sexes,30,Civil partnership dissolved,0,NA
2024,Both Sexes,30,Marital status not stated,29,NA
2024,Both Sexes,31,All marital statuses,458,NA
2024,Both Sexes,31,Single,358,NA
